content_age,content_tables,content_text,content_total_pages,error,failed,id,metadata_author,metadata_date,metadata_extracted_at,metadata_file_name,metadata_page,metadata_source_type,metadata_title,metadata_total_pages,metadata_url,raw,source
11,,"s4. red, yellow and orange are associated with a stimulant effect, while blue and green are related to tranquilizing effect; says dr. a. j. de craen. 1. such studies have found that even the color of pills made a difference in placebo results. 2. their once-surprising effect on participants has become the focus of many studies. 3. another argument says that by prescribing a placebo to placate a patient, the correct diagnosis of a serious ailment might be postponed 4. at one time, placebos were only used in experiments as a control options 1. ps 2. pq 3. qp 4. qs answer – qp reasoning ability: question 1: identify the letter- cluster that does not belong to the following series. (letter series) cx, gt, ev, dw, hs, za, mn, uf 1. za 2. uf 3. hs 4. mn ans – hs question 2: four pairs of letter-clusters have been given, out which three are alike in some manner and one is different. select the one that is different. (letter analogy) 1. tmkolfxoy : tomklfxoy 2. pvmsygcxn : vspmycgnx 3. xdswzoivk : xwsdzikov 4. fchvotfgw : vhfcofgtw ans – tmkolfxoy : tomklfxoy",29,,False,f39cd1bc-e335-4f23-beb5-e2888271c5f5,Bhawna Pritam,D:20251030104857+05'30',2026-03-28T05:36:53.292350+00:00,TCS-NQT-Paper-1.pdf,11,pdf,TCS-NQT-Paper-1,29,,"S4. Red, Yellow and orange are associated with a stimulant effect, while blue and
green are related to tranquilizing effect; says Dr. A. J. de Craen.
1. Such studies have found that even the color of pills made a difference in placebo results.
2. Their once-surprising effect on participants has become the focus of many studies.
3. Another argument says that by prescribing a placebo to placate a patient, the correct
diagnosis of a serious ailment might be postponed
4. At one time, placebos were only used in experiments as a control
Options
1. PS
2. PQ
3. QP
4. QS
Answer – QP
Reasoning Ability:
Question 1: Identify the letter- cluster that does not belong to the following
series. (Letter Series)
CX, GT, EV, DW, HS, ZA, MN, UF
1. ZA
2. UF
3. HS
4. MN
Ans – HS
Question 2: Four pairs of letter-clusters have been given, out which three are alike in
some manner and one is different. Select the one that is different. (Letter Analogy)
1. TMKOLFXOY : TOMKLFXOY
2. PVMSYGCXN : VSPMYCGNX
3. XDSWZOIVK : XWSDZIKOV
4. FCHVOTFGW : VHFCOFGTW
Ans – TMKOLFXOY : TOMKLFXOY",pdf
12,,"question 3: in a certain code language. • p&q means p is the son of q • p @ q means p is the mother of q • p % q means p is the brother of q • p q means p is the husband of q based on the above, how is k related to q if ‘k % g & t v @ s @ n % q’? (blood relations) (correct question) 1. father 2. father’s brother 3. mother’s brother 4. brother ans- mother’s brother question 4: following are the criteria for the post of a seniot engineer in an electrical company 1. be in the range of 22 to 35 years as on 8 march 2017 2. be a graduate in electrical engineering with at least of 60% marks 3. have passed the recruitment test with a minimum of 70% marks 4. be willing to deposit an amount of rs 45000 as part of the agreement if a candidate fulfills all the criteria except at (b) above, but has appeared in the last semester and has secured at least 65% in the first semester (missin) to the director if a candidate fulfills all the criteria except at (d) above, but is willing to pay at least 50% of the deposit amount, and has secured 70% marks at the graduation (missing) referred to the chairman. based on the above mentioned criteria and without assuming any additional information, take a decision for the following application. raini d’souza is an electrical engineering graduate with 70 % marks. she was born on 4 march 1982 and has obtained 76% marks in the recruitment test. (missing ) as depost 1. not to be selected 2. data is incomplete 3. to be selected 4. case to be referred to the chairman.",29,,False,de5b7827-b60a-4613-a2b3-96305ac602c5,Bhawna Pritam,D:20251030104857+05'30',2026-03-28T05:36:53.569723+00:00,TCS-NQT-Paper-1.pdf,12,pdf,TCS-NQT-Paper-1,29,,"Question 3: In a certain code language.
• P&Q means P is the son of Q
• P @ Q means P is the mother of Q
• P % Q means P is the brother of Q
• P Q means P is the Husband of Q
Based on the above, how is K related to Q if ‘K % G & T V @ S @ N % Q’? (Blood
Relations) (correct question)
1. Father
2. Father’s brother
3. Mother’s brother
4. Brother
Ans- Mother’s Brother
Question 4: Following are the criteria for the post of a Seniot Engineer in an electrical
company
1. Be in the range of 22 to 35 years as on 8 March 2017
2. Be a graduate in Electrical Engineering with at least of 60% marks
3. Have passed the recruitment test with a minimum of 70% marks
4. Be willing to deposit an amount of Rs 45000 as part of the agreement
If a candidate fulfills all the criteria except at (b) above, but has appeared in the last
semester and has secured at least 65% in the first semester (missin) to the director
If a candidate fulfills all the criteria except at (d) above, but is willing to pay at least
50% of the deposit amount, and has secured 70% marks at the graduation (missing)
referred to the chairman.
Based on the above mentioned criteria and without assuming any additional
information, take a decision for the following application.
Raini D’Souza is an Electrical Engineering graduate with 70 % marks. She was born
on 4 march 1982 and has obtained 76% marks in the recruitment test. (missing ) as
depost
1. Not to be selected
2. Data is incomplete
3. To be selected
4. Case to be referred to the chairman.",pdf
13,,"question 5: read the given statement and courses of action carefully and decide which of the given courses of action logically follows: (statement and course of action) statement: despite the hostel warnings, the student was caught exploding crackers secretly on the hostel campus during the birthday celebration. course of actions:- 1. all the crackers should be taken away from the students and they should be threatened not to do it again 2. the students should be severely punished for this wrong act. 1. either i or ii follows 2. only ii follows 3. neither i not ii follows 4. only i follows ans. either i or ii question 6: 20 years ago mohita was 22 years old, how old was she x years ago? 1. x – 42 2. 42 3. 42-x 4. 62-x ans. 42- x question 7: a question is given followed by two statements labelled i and ii. identify which of the statements (statements and conclusion) question:- let p be the total number of males and q be the total number of females in a family. what is the difference between p and q?",29,,False,088cf537-3f19-499f-a31e-b5ddaa368731,Bhawna Pritam,D:20251030104857+05'30',2026-03-28T05:36:53.722487+00:00,TCS-NQT-Paper-1.pdf,13,pdf,TCS-NQT-Paper-1,29,,"Question 5: Read the given statement and courses of action carefully and decide
which of the given courses of action logically follows: (Statement and Course of
action)
Statement:
Despite the Hostel warnings, the student was caught exploding crackers secretly on
the hostel campus during the birthday celebration.
Course of actions:-
1. All the crackers should be taken away from the students and they should be threatened
not to do it again
2. The students should be severely punished for this wrong act.
1. Either I or II follows
2. Only II follows
3. Neither I not II follows
4. Only I follows
Ans. Either I or II
Question 6: 20 years ago Mohita was 22 years old, how old was she X years ago?
1. X – 42
2. 42
3. 42-X
4. 62-X
Ans. 42- X
Question 7: A question is given followed by two statements labelled I and II. Identify
which of the statements (Statements and Conclusion)
Question:-
Let p be the total number of males and q be the total number of females in a family.
What is the difference between P and Q?",pdf
14,,"statement:- 1. vipraja has six daughters, who have a brother, vipraja is the wife of shantanu 2. shantanu is the father of six daughters. kiran’s mother vipraja is married to shantanu. khan is a male 1. statement i alone is sufficient 2. either statement i alone or statement ii alone is sufficient 3. both statements i and ii together are necessary 4. statement ii alone is sufficient answer – statement i alone is sufficient advanced coding: question 1 ayush is working on a strange algorithm where he wants to convert a string from a to b, both the strings of equal length n below are the rules which can be performed to convert a string • string a and b are of equal length • both of them are in lower case • choose a subset x from the string a, between the index 1 and n. • let ‘s’ be the letter which alphabetically comes before all other letters in the subset. let ‘s’ be called the ‘smallest element’ in the subset. • replace all the elements of subset with the letter ‘s’ find the minimum number of moves which is required to perform the conversion. if it is not possible to convert the string from a to b then return -1 let us try to understand it with and examples suppose there are 2 strings a = abcab b = aabab operation 1: now we have chosen a subset s, let us say we have taken index 2,3,5 from a",29,,False,4d46b97d-154c-4c4a-9c91-c12f270cbb6d,Bhawna Pritam,D:20251030104857+05'30',2026-03-28T05:36:54.012075+00:00,TCS-NQT-Paper-1.pdf,14,pdf,TCS-NQT-Paper-1,29,,"Statement:-
1. Vipraja has six daughters, who have a brother, Vipraja is the wife of Shantanu
2. Shantanu is the father of six daughters. Kiran’s mother Vipraja is married to Shantanu.
Khan is a male
1. Statement I alone is sufficient
2. Either statement I alone or statement II alone is sufficient
3. Both statements I and II together are necessary
4. Statement II alone is sufficient
Answer – Statement I alone is sufficient
Advanced Coding:
Question 1
Ayush is working on a strange algorithm where he wants to convert a string from A to
B, both the strings of equal length N
Below are the rules which can be performed to convert a string
• String A and B are of equal length
• Both of them are in lower case
• Choose a subset X from the string A, between the index 1 and N.
• Let ‘s’ be the letter which alphabetically comes before all other letters in the subset. Let
‘s’ be called the ‘smallest element’ in the subset.
• Replace all the elements of subset with the letter ‘s’
Find the minimum number of moves which is required to perform the conversion. If it
is not possible to convert the string from A to b then return -1
Let us try to understand it with and examples
Suppose there are 2 strings
A = abcab
B = aabab
Operation 1:
Now we have chosen a subset S, let us say we have taken index 2,3,5 from A",pdf
15,,"then the subset s becomes [bcb] next, we have to choose the smallest element , 6041 here, which is b here in b & c next, we have to replace all the other elements in subset with this element. so ‘b’ with replace everything in [bcb]. which becomes [bbb]. now we will place all the respective elements back to their respective index. this will update the original string as [abbab] operation 2: original string [abbab] now we have chosen a subset s, let say we have taken a index 1,2,4 from a then the subset become [aba] next, we have to choose the smallest element, which is here in a & b. next, we have to replace the smallest with all the other elements in subset. so ‘a’ will replace everything in [aba] now we will place all the respective elements back to their respective index. this will update the original string as [aabab] this is exactly same as string b hence it is possible to convert string a to b, with 2 operations. so, the answer is 2. example 1: input: 2-> input integer, n de-> input string, a cd-> input string, b",29,,False,ab50390b-30cb-47a9-9eba-37d65fe70778,Bhawna Pritam,D:20251030104857+05'30',2026-03-28T05:36:54.159149+00:00,TCS-NQT-Paper-1.pdf,15,pdf,TCS-NQT-Paper-1,29,,"Then the subset S becomes [bcb]
Next, we have to choose the smallest element , 6041 here, which is b here in b & c
Next, we have to replace all the other elements in subset with this element. So ‘b’
with replace everything in [bcb]. which becomes [bbb].
Now we will place all the respective elements back to their respective index. This will
update the original string as [abbab]
Operation 2:
Original string [abbab]
Now we have chosen a subset S, let say we have taken a index 1,2,4 from A
Then the subset become [aba]
Next, we have to choose the smallest element, which is here in a & b.
Next, we have to replace the smallest with all the other elements in subset. So ‘a’ will
replace everything in [aba]
Now we will place all the respective elements back to their respective index. This will
update the original string as [aabab]
This is exactly same as String B
Hence it is possible to convert string A to B, with 2 operations. So, the answer is 2.
Example 1: Input:
2-> Input integer, N
de-> input string, A
cd-> Input string, B",pdf
16,,"output: -1 explanation: in the above example we can clearly see that there is an alphabet in a which is completely different from b. hence it is not possible to convert a to b so the answer is -1 example 2: input: 4- > input integer, n abab-> input string, a abaa-> input string a output: 1 -> output explanation: operation 1: now we have chosen a subset s, let say we have taken index 3,4 from a then the subset s becomes [ab] next, we have to choose the smallest element, which is a here in a & b next, we have to replace the smallest with all the other elements in subset. so ‘a’ will replace everything in [abl, which becomes [aa] now we will place all the respective elements back to their respective index. this will update the original string as [abaa]",29,,False,3310cbe4-bf48-4f29-ada5-4567a958f515,Bhawna Pritam,D:20251030104857+05'30',2026-03-28T05:36:54.266454+00:00,TCS-NQT-Paper-1.pdf,16,pdf,TCS-NQT-Paper-1,29,,"Output:
-1
Explanation:
In the above example we can clearly see that there is an alphabet in A which is
completely different from B. hence it is not possible to convert A to B
So the answer is -1
Example 2:
Input:
4- > input integer, N
abab-> input string, A
abaa-> input string A
Output:
1 -> Output
Explanation:
Operation 1:
Now we have chosen a subset S, let say we have taken index 3,4 from A
Then the Subset S becomes [ab]
Next, we have to choose the smallest element, which is a here in a & b
Next, we have to replace the smallest with all the other elements in subset. So ‘a’ will
replace everything in [abl, which becomes [aa]
Now we will place all the respective elements back to their respective index. This will
update the original string as [abaa]",pdf
17,,"this is exactly same as string b hence it is possible to convert string a to b. with 1 operation. so, the answer is 1. constraints: 1. 1<=n<=1000 2. n integer 3. only lower case letters of the english alphabet 4. length of a,b = n the input format for testing 1. first input-accept value of integer, n. 2. second input-accept value of string, a (next line) 3. third input-accept value of string, b(next line) the output format for testing 1. the output is an integer as per above logic. (check the output in example 1, example 21 2. additional messages in output will cause the failure of test cases instructions: 1. system doesn’t allow any kind of hard coded input value/values. 2. written program code by the candidate will be verified against the inputs which are supplied from the system. python n = int(input()) a = input() b = input() if a == b: print(1) res, res2 = """", """" for x in range(n): if a[x] != b[x]: res += a[x] res2 += b[x] ans = 0 for i in a: if ans != 0: break if i not in b: print(-1) break else: for x in set(res2):",29,,False,d5de2366-2026-48b5-b66b-23857ae1297c,Bhawna Pritam,D:20251030104857+05'30',2026-03-28T05:36:54.435405+00:00,TCS-NQT-Paper-1.pdf,17,pdf,TCS-NQT-Paper-1,29,,"This is exactly same as String B
Hence it is possible to convert string A to B. with 1 operation. So, the answer is 1.
Constraints:
1. 1<=N<=1000
2. N integer
3. Only lower case letters of the English alphabet
4. Length of A,B = N
The input format for testing
1. First Input-Accept value of Integer, N.
2. Second Input-Accept value of string, A (Next Line)
3. Third Input-Accept value of string, B(Next Line)
The Output format for testing
1. The output is an integer as per above logic. (Check the output in Example 1, Example 21
2. Additional messages in output will cause the failure of test cases
Instructions:
1. System doesn’t allow any kind of hard coded input value/values.
2. Written program code by the candidate will be verified against the inputs which are
supplied from the system.
Python
n = int(input())
a = input()
b = input()
if a == b:
print(1)
res, res2 = """", """"
for x in range(n):
if a[x] != b[x]:
res += a[x]
res2 += b[x]
ans = 0
for i in a:
if ans != 0:
break
if i not in b:
print(-1)
break
else:
for x in set(res2):",pdf
18,,"if x not in a: print(-1) ans += 1 break else: print(len(set(res2))) ans += 1 break if ans == 1: break question 2: jack is a sports teacher at st. patrick’s school. he makes games not only to make the student fit, but so smart. so, he lined up all the n numb class. of students in his class. at each position he has fixed a board with the integer number printed on it. each of the numbers are unique and are in exactly the range of n. let us say there are 10 students, then the boards will be printed with numbers from 1 to 10 in a random order given by the sequence a[ ] as a rule, all students wear a jersey with their numbers printed on it. so if there are students, each will have a unique jersey number just like a football team. now, in the beginning, all the students will stand as per the increasing order of their jersey numbers, from left to right. the only difference will be their respective board number which is placed at their respective location. the board location is fixed and cannot be changed. we can consider the arrangement as below. suppose there are students, and the board is placed in the order of [2 3 1 5 4] board — 2, 3, 1, 5, 4 student’s jersey — 1, 2, 3, 4, 5 now the game begins. • after every beat of the drum, each student will have to move to that location (index), where his board is pointing to. in the above case student with jersey 1 is standing with",29,,False,84937eff-aa1e-479f-ae57-cb9e81074b05,Bhawna Pritam,D:20251030104857+05'30',2026-03-28T05:36:54.603215+00:00,TCS-NQT-Paper-1.pdf,18,pdf,TCS-NQT-Paper-1,29,,"if x not in a:
print(-1)
ans += 1
break
else:
print(len(set(res2)))
ans += 1
break
if ans == 1:
break
Question 2:
Jack is a sports teacher at St. Patrick’s School. He makes games not only to make
the student fit, but So smart.
So, he lined up all the N numb class. of students in his class.
At each position he has fixed a board with the Integer number printed on it. Each of
the numbers are unique and are in exactly the range of N. Let us say there are 10
students, then the boards will be printed with numbers from 1 to 10 in a random
order given by the sequence A[ ]
As a rule, all students wear a jersey with their numbers printed on it. So if there are
students, each will have a unique jersey number just like a football team.
Now, in the beginning, all the students will stand as per the increasing order of their
jersey numbers, from left to right.
The only difference will be their respective board number which is placed at their
respective location. The board location is fixed and cannot be changed. We can
consider the arrangement as below. Suppose there are students, and the board is
placed in the order of [2 3 1 5 4]
Board — 2, 3, 1, 5, 4
Student’s Jersey — 1, 2, 3, 4, 5
Now the game begins.
• After every beat of the drum, each student will have to move to that location (index),
where his board is pointing to. In the above case student with jersey 1 is standing with",pdf
19,,"board 2, so now he will have to move to location 2. similarly, all the other students will do. so after first beat of the drum, the alignment will be: board — 2, 3, 1, 5, 4 this keeps going on and on, until all the students are back the way they were at the beginning. so, after 6 beats of the drum, all the students will be aligned the same way as before. given n and the order of board of the respective positions, find the number of beats required to bring back the students to their original position. so, for the above case the answer is 6 example 1: input: 3 input integer, n {1, 2, 3}->input integer. b[], board alignment. output: 1 -> output explanation: all the students will be standing as board positions; board — 1, 2, 3 student’s jersey –1, 2, 3 after first beat of the drum: jersey 1 will move to index 1. jersey 2 will move to index 2. jersey 3 will move to index 3. hence, they will be back on their own position in just 1 beat. so, the answer is 1.",29,,False,d10b8af9-92f3-4070-989f-796f6759ca14,Bhawna Pritam,D:20251030104857+05'30',2026-03-28T05:36:54.822857+00:00,TCS-NQT-Paper-1.pdf,19,pdf,TCS-NQT-Paper-1,29,,"board 2, so now he will have to move to location 2. Similarly, all the other students will
do.
So after first beat of the drum, the alignment will be:
Board — 2, 3, 1, 5, 4
This keeps going on and on, until all the students are back the way they were at the
beginning. So, after 6 beats of the drum, all the students will be aligned the same
way as before.
Given N and the order of board of the respective positions, find the number of beats
required to bring back the students to their original position.
So, for the above case the answer is 6
Example 1:
Input:
3 Input integer, N
{1, 2, 3}->Input integer. B[], board alignment.
Output:
1 -> Output
Explanation:
All the students will be standing as board positions;
Board — 1, 2, 3
Student’s Jersey –1, 2, 3
After first beat of the drum:
Jersey 1 will move to index 1.
Jersey 2 will move to index 2.
Jersey 3 will move to index 3.
Hence, they will be back on their own position in just 1 beat. So,
the answer is 1.",pdf
20,,"example 2: input: 5- > input integer, n {2, 3, 1, 5, 4}-> input integer, b[ ], board alignment. output: 6- > output explanation: all the students will be standing as below, with the board positions: board — 2, 3, 1, 5, 4 student’s jersey — 1, 2, 3, 4, 5 after beat-1of the drum: jersey 1 has moved to index 2. jersey 2 has moved to index 3. jersey 3 has moved to index 1. jersey 4 has moved to index 5. jersey 5 has moved to index 4. board – 2, 3, 1, 5, 4 student’ s jersey — 3, 1, 2, 5, 4 after beat-2 of the drum: jersey 3 has moved to index 2. jersey 1 has moved to index 3. jersey 2 has moved to index 1. jersey 5 has moved to index 5. jersey 4 has moved to index 4. board — 2, 3, 1, 5, 4 student’s jersey — 2, 3, 1, 4, 5",29,,False,ca21098f-d1f9-4d34-93bf-f882bd0475b8,Bhawna Pritam,D:20251030104857+05'30',2026-03-28T05:36:54.961149+00:00,TCS-NQT-Paper-1.pdf,20,pdf,TCS-NQT-Paper-1,29,,"Example 2:
Input:
5- > Input integer, N
{2, 3, 1, 5, 4}-> Input integer, B[ ], board alignment.
Output:
6- > Output
Explanation:
All the students will be standing as below, with the board positions:
Board — 2, 3, 1, 5, 4
Student’s Jersey — 1, 2, 3, 4, 5
After Beat-1of the drum:
Jersey 1 has moved to index 2.
Jersey 2 has moved to index 3.
Jersey 3 has moved to index 1.
Jersey 4 has moved to index 5.
Jersey 5 has moved to index 4.
Board – 2, 3, 1, 5, 4
Student’ s Jersey — 3, 1, 2, 5, 4
After Beat-2 of the drum:
Jersey 3 has moved to index 2.
Jersey 1 has moved to index 3.
Jersey 2 has moved to index 1.
Jersey 5 has moved to index 5.
Jersey 4 has moved to index 4.
Board — 2, 3, 1, 5, 4
Student’s Jersey — 2, 3, 1, 4, 5",pdf
21,,"after beat-3 of the drum: board — 2, 3, 1, 5, 4 student’s jersey — 1, 2, 3, 5, 4 after beat-4 of the drum: board — 2, 3, 1, 5, 4 student’s jersey — 3, 1, 2, 4, 5 after beat-5 of the drum: board — 2, 3, 1, 5, 4 student’s jersey — 2, 3, 1, 5, 4 after beat-6 of the drum: board — 2, 3, 1, 5, 4 student’s jersey — 1, 2, 3, 4, 5 hence, they will be back on their positions after 6 beats. so, the answer is 6. constraints: • 1<=n<=100000 • 1 <=a[i] <= n • all a[i] will be distinct numbers • n and. only integers. the input format for testing: • first input – accept value of in1101 • next ‘n’ lines-elements of sequence a[] c++ #include #include using namespace std; int main() { int n; int b[50], arr[50];",29,,False,b04f7dce-de56-4d87-bceb-da5a8af6c16f,Bhawna Pritam,D:20251030104857+05'30',2026-03-28T05:36:55.120208+00:00,TCS-NQT-Paper-1.pdf,21,pdf,TCS-NQT-Paper-1,29,,"After Beat-3 of the drum:
Board — 2, 3, 1, 5, 4
Student’s Jersey — 1, 2, 3, 5, 4
After Beat-4 of the drum:
Board — 2, 3, 1, 5, 4
Student’s Jersey — 3, 1, 2, 4, 5
After Beat-5 of the drum:
Board — 2, 3, 1, 5, 4
Student’s Jersey — 2, 3, 1, 5, 4
After Beat-6 of the drum:
Board — 2, 3, 1, 5, 4
Student’s Jersey — 1, 2, 3, 4, 5
Hence, they will be back on their positions after 6 beats.
So, the answer is 6.
Constraints:
• 1<=N<=100000
• 1 <=A[i] <= N
• All A[i] will be distinct numbers
• N and. Only Integers.
The input format for testing:
• First Input – Accept value of In1101
• Next ‘N’ Lines-Elements of sequence A[]
C++
#include <bits/stdc++.h>
#include
using namespace std;
int main()
{
int n;
int B[50], arr[50];",pdf
22,,"cout<<""value of n ""; cin>>n; for(int i=0; i 0; i++){ cin>>a; b[j]=a; arr[i]=i+1; } } int ans=0; while(true){ ans = ans+1; int ar[n]; for(int i=0; i",29,,False,24d774a6-4f89-48a8-bcc6-9995ca60b12d,Bhawna Pritam,D:20251030104857+05'30',2026-03-28T05:36:55.185511+00:00,TCS-NQT-Paper-1.pdf,22,pdf,TCS-NQT-Paper-1,29,,"cout<<""Value of n ""; cin>>n;
for(int i=0; i<n; i++){ int a; for(int j=n-1; j>0;
i++){
cin>>a;
B[j]=a;
arr[i]=i+1;
}
}
int ans=0;
while(true){
ans = ans+1;
int ar[n];
for(int i=0; i<n; i++){
ar[i] = arr[B[i]-1];
}
if(ar==sort(ar,ar+n)){
break;
}
arr = arr;
cout<<ans;
}
return 0;
}
Python
n = int(input())
B = []
arr = []
for i in range(n):
B.append(int(input()))
arr.append(i+1)
ans = 0
while 1:
ans += 1
ar = [None]*n
for i in range(n):
ar[i] = arr[B[i]-1]
if ar == sorted(ar):
break",pdf
23,,"arr = ar print(ans) advanced quantitative: question 1: if the equation (1+ λ2 ) x2 + 2λcx + (c2-a2) has equal roots, then a2 (1+ λ2)= 1. c2 2. -2 3. a2 4. -4 ans: question 2: a five-digit number is to be written using 1, 2, 3, 4 and 5 using each exactly once such that the number is divisible by 4. how many such numbers are there? enter the answer in the space provided on the screen using the keyboard. answer should be in whole number without any symbols (e.g %, kms, ms, ₹ etc.) answer: 6 question 3: what is the value of x for the below equation? 4 + 4√x-1 = 2√x+1? enter the answer in the space provided on the screen using the keyboard. answer should be in whole number without any symbols (e.g %, kms, ms, ₹ etc.) answer: 1 question 4: which of the following points lie in the region of inequations x ≥ 1, y≥ 1 and x+y ≤ 6? 1. (4,2) 2. (3,2) 3. both (2,5) & (4, 2) 4. (2,5)",29,,False,42240cca-1fbd-4a7b-b4c6-9907342dc322,Bhawna Pritam,D:20251030104857+05'30',2026-03-28T05:36:55.345088+00:00,TCS-NQT-Paper-1.pdf,23,pdf,TCS-NQT-Paper-1,29,,"arr = ar
print(ans)
Advanced Quantitative:
Question 1: If the equation (1+ 𝛌2 ) x2 + 2𝛌cx + (c2-a2) has equal roots, then a2 (1+
𝛌2)=
1. c2
2. -2
3. a2
4. -4
Ans:
Question 2: A five-digit number is to be written using 1, 2, 3, 4 and 5 using each
exactly once such that the number is divisible by 4. How many such numbers are
there?
Enter the answer in the space provided on the screen using the keyboard. Answer
should be in whole number without any symbols (E.g %, kms, ms, ₹ etc.)
Answer: 6
Question 3: What is the value of x for the below equation?
4 + 4√x-1 = 2√x+1?
Enter the answer in the space provided on the screen using the keyboard. Answer
should be in whole number without any symbols (E.g %, kms, ms, ₹ etc.)
Answer: 1
Question 4: Which of the following points lie in the region of inequations x ≥ 1, y≥ 1
and x+y ≤ 6?
1. (4,2)
2. (3,2)
3. Both (2,5) & (4, 2)
4. (2,5)",pdf
24,,"answer: both (2,5) & (4, 2) question 5: the equation (k+3)x2 – 10(k+3)x + 15(k+9)=0, k≠3, has equal roots, then k= enter the answer in the space provided on the screen using the keyboard. answer should be in whole number without any symbols (e.g %, kms, ms, ₹ etc.) answer: k = 6 question 6: find the ratio of the average sale of all the branches for the years 2020 and 2021? 1. 80:81 2. 66.5: 81 3. 88 : 76.5 4. 76.5 : 82 answer: 76.5 : 82 question 7: a metallic solid cube of side length 4cm is melted and made into a hallow sphere of internal radius 3cm. what is the external radius of the sphere? 1. (24/π+ 27)1/3 2. (48/π+ 27)1/3 3. (24/π+ 9)1/3 4. (48/π+ 9)1/3 answer: (48/π+ 27)1/3 advanced logical question 1. the desired description of the role of an actress described by the screenplay is an average-sized lady of age range 45 to 50 years, big body frame, with a grey head, large-sized blue eyes, quite fair skin, smiling face and decently good looking according to the director and casting assistant of the film,there will be no compromise with the resemblance of the character as described in the screenplay, no matter how talented they are. the candidate who appeared for the screen test is",29,,False,d2148d71-823d-4cdd-8498-a8e4af1b91f1,Bhawna Pritam,D:20251030104857+05'30',2026-03-28T05:36:55.537390+00:00,TCS-NQT-Paper-1.pdf,24,pdf,TCS-NQT-Paper-1,29,,"Answer: Both (2,5) & (4, 2)
Question 5: The equation (k+3)x2 – 10(k+3)x + 15(k+9)=0, k≠3, has equal roots, then
k=
Enter the answer in the space provided on the screen using the keyboard. Answer
should be in whole number without any symbols (E.g %, kms, ms, ₹ etc.)
Answer: k = 6
Question 6: Find the ratio of the average sale of all the branches for the years 2020
and 2021?
1. 80:81
2. 66.5: 81
3. 88 : 76.5
4. 76.5 : 82
Answer: 76.5 : 82
Question 7: A metallic solid cube of side length 4cm is melted and made into a
hallow sphere of internal radius 3cm. What is the external radius of the sphere?
1. (24/𝜋+ 27)1/3
2. (48/𝜋+ 27)1/3
3. (24/𝜋+ 9)1/3
4. (48/𝜋+ 9)1/3
Answer: (48/𝜋+ 27)1/3
Advanced Logical
Question 1. The desired description of the role of an actress described by the
screenplay is an average-sized lady of age range 45 to 50 years, big body frame, with a
grey head, large-sized blue eyes, quite fair skin, smiling face and decently good
looking According to the director and casting assistant of the film,there will be no
compromise with the resemblance of the character as described in the screenplay,
no matter how talented they are. The candidate who appeared for the screen test is",pdf
25,,"a highly appreciated actress who has black hair,big blue eyes,and quite a fair complexion. she is in her thirties and medium build. will the candidate be selected or not? (answer: selected/not selected ) enter the answer in the space provided on the screen using the keyboard. answer should be in whole numbers without any symbols (e.g %,kms,ms ,etc) answer:- not selected (not matching the physical characteristics) question 2. rani gives 6 numbers to friends 1,2,3,4,5, and 6. all numbers are related to different names i.e 1 is related to amabad, 2 are domabad, 3 are taimabad, 4 are chomabad, 5 pemanad, and 6 are chamabad. 1 is like to chamabad 3 and 4 like to pemabad. 6 and 1 like to taimabad, pemabad, domabad. which number like pemabad and taimabad but not chambad? answer: 6 question 3: eight students namely 1,2,3,4,5,6,7 and 8 are seated around a circle facing the center. 5 is second to the right of 3 who is the third of the of 2. 8 is third to the right of 6 who is not an immediate neighbor of 1. who is the second to the right of 5? answer: question 4: in certain code language java is written as jvaa. how will mawaa be written in that language? answer: mwaaa question 5. a question is given, followed by two statements labelled l and ii. identify which of the statements is/are sufficient to answer the question.",29,,False,e902a9da-4799-4357-ae29-2a2b8f4bfce6,Bhawna Pritam,D:20251030104857+05'30',2026-03-28T05:36:55.747437+00:00,TCS-NQT-Paper-1.pdf,25,pdf,TCS-NQT-Paper-1,29,,"a highly appreciated actress who has black hair,big blue eyes,and quite a fair
complexion. She is in her thirties and medium build. Will the candidate be selected or
not? (Answer: Selected/Not Selected )
Enter the answer in the space provided on the screen using the keyboard. Answer
should be in whole numbers without any symbols (e.g %,kms,ms ,etc)
Answer:- Not selected (not matching the physical characteristics)
Question 2. Rani gives 6 numbers to friends 1,2,3,4,5, and 6. All numbers are related
to different names i.e 1 is related to Amabad, 2 are Domabad, 3 are Taimabad, 4 are
chomabad, 5 pemanad, and 6 are chamabad. 1 is like to chamabad 3 and 4 like to
Pemabad. 6 and 1 like to Taimabad, Pemabad, Domabad.
Which number like Pemabad and Taimabad but not Chambad?
Answer: 6
Question 3: Eight students namely 1,2,3,4,5,6,7 and 8 are seated around a circle
facing the center. 5 is second to the right of 3 who is the third of the of 2.
8 is third to the right of 6 who is not an immediate neighbor of 1. Who is the second
to the right of 5?
Answer:
Question 4: In certain code language JAVA is written as JVAA. How will MAWAA be
written in that language?
Answer: MWAAA
Question 5. A question is given, followed by two statements labelled l and II. Identify
which of the statements is/are sufficient to answer the question.",pdf
